A16_LM.UTCModJulian,A16_LM.UTCGregorian,A16_LM.Luna.Longitude,A16_LM.Luna.Latitude,A16_LM.Luna.Altitude,A16_LM.LunaFixed.PlanetodeticAZI,A16_LM.LunaFixed.PlanetodeticHFPA
11470.57735883443,02 Jun 1972 01:51:23.803,113.8557351135241,4.989443187769484,19.04123338592535,-81.98586442047358,-2.174386981753699
11470.57754418596,02 Jun 1972 01:51:39.818,112.9642867661679,5.113850258653566,18.00784910262996,-82.06394988726817,-2.130810263373064
11470.57772626944,02 Jun 1972 01:51:55.550,112.0872177674971,5.235009236945095,17.01264836892892,-82.14258328478343,-2.087414171179262
11470.57791220078,02 Jun 1972 01:52:11.614,111.1902589695855,5.357613800686861,16.01715082234773,-82.22484764648497,-2.042516578200505
11470.57811634863,02 Jun 1972 01:52:29.253,110.2038605386499,5.490889456333962,14.94864249106104,-82.31750407984397,-1.992477764534684
11470.57829256391,02 Jun 1972 01:52:44.478,109.3511250151809,5.60476297237468,14.04729918282374,-82.39961011991103,-1.948752209292152
11470.57846910232,02 Jun 1972 01:52:59.730,108.4956285842648,5.717725327765875,13.16400675163595,-82.48381180797151,-1.904605842511657
11470.57863815359,02 Jun 1972 01:53:14.336,107.6753048550921,5.824814928894494,12.33685574234437,-82.56625034931426,-1.861869787608583
11470.57880762051,02 Jun 1972 01:53:28.978,106.8518868847659,5.931074763780313,11.52626087266708,-82.65069677630807,-1.818558204331083
11470.57897535183,02 Jun 1972 01:53:43.470,106.0358493416303,6.035140827455409,10.74245673829296,-82.73580204016012,-1.775530191844538
11470.57914616434,02 Jun 1972 01:53:58.229,105.2037575862773,6.139963241549961,9.963210939527016,-82.82387076134505,-1.73167472927797
11470.57932472914,02 Jun 1972 01:54:13.657,104.3327726410582,6.248267698925697,9.1691523216316,-82.91765852275829,-1.685485333467796
11470.57948860432,02 Jun 1972 01:54:27.815,103.5324412818789,6.346487861097086,8.45914860832886,-83.00525136162267,-1.642483099823565
11470.57964840056,02 Jun 1972 01:54:41.622,102.7511224945665,6.441157563576723,7.784311851075927,-83.09202037774045,-1.600246940445388
11470.57981144321,02 Jun 1972 01:54:55.709,101.9530174880918,6.536601820027634,7.113629289372966,-83.18204262425972,-1.557186130087374
11470.57997070764,02 Jun 1972 01:55:09.469,101.1725326613613,6.628690407981337,6.475954942195358,-83.27135688689634,-1.514896493280673
11470.58012462867,02 Jun 1972 01:55:22.768,100.4174279681148,6.716594474032375,5.876241880812813,-83.35889768074117,-1.473612651014975
11470.58027776146,02 Jun 1972 01:55:35.999,99.66541756543805,6.802961174179028,5.295911277302821,-83.44718859099046,-1.432283118652364
11470.5804301239,02 Jun 1972 01:55:49.163,98.91643921066424,6.887798976272612,4.734767752053131,-83.53610788726445,-1.390843314802254
11470.58058435165,02 Jun 1972 01:56:02.488,98.15754250774423,6.972546605795771,4.183448272831583,-83.62716839159194,-1.348501244956537
11470.58074316032,02 Jun 1972 01:56:16.209,97.37533038628206,7.058605549521474,3.633456050129098,-83.72224058379658,-1.304649294966296
11470.58090678072,02 Jun 1972 01:56:30.346,96.56861131306174,7.145968973849665,3.085694650829964,-83.82166002745545,-1.25925661439112
11470.58109081353,02 Jun 1972 01:56:46.246,95.66029280953708,7.242621965724891,2.492649446882979,-83.93510390388772,-1.207952617729461
11470.58124393908,02 Jun 1972 01:56:59.476,94.90376548170498,7.321721988265617,2.017889089551318,-84.03076896727241,-1.165142267172229
11470.58139785506,02 Jun 1972 01:57:12.775,94.14265777385874,7.400001795642674,1.557858745152998,-84.12807555972086,-1.121902628019925
11470.58154309483,02 Jun 1972 01:57:25.323,93.42384697439638,7.472723467419416,1.139653737034678,-84.22089139435386,-1.080908267402748
11470.58168208017,02 Jun 1972 01:57:37.332,92.73545119153262,7.541258499928066,0.7539573628380367,-84.31060523558105,-1.041617092424104
11470.58181536579,02 Jun 1972 01:57:48.848,92.07480365002608,7.606001550367912,0.3974581170705278,-84.39748553299496,-1.003675317674876
11470.58194508194,02 Jun 1972 01:58:00.055,91.43140482616029,7.668077373051357,0.06318968373557254,-84.48279666558361,-0.9665308518652012
11470.58207244827,02 Jun 1972 01:58:11.060,90.79924339673718,7.728123405630178,-0.2528308566495525,-84.56727069503049,-0.9301650197280793
11470.58219776458,02 Jun 1972 01:58:21.887,90.17686460690892,7.786317704724201,-0.551976264181576,-84.65118061446025,-0.8942165421243118
11470.58232283728,02 Jun 1972 01:58:32.693,89.55531957391789,7.843512453220339,-0.8387339427465577,-84.73580621296277,-0.8577315645483594
11470.58244813363,02 Jun 1972 01:58:43.519,88.93229268357065,7.899911352076615,-1.114009840957124,-84.82133191912391,-0.8209181200993925
11470.58257493454,02 Jun 1972 01:58:54.474,88.30141196278288,7.956064468349344,-1.380381913315205,-84.9083809073113,-0.7839675060988469
11470.5827036331,02 Jun 1972 01:59:05.594,87.66071664709519,8.012102316188333,-1.638301306204767,-84.99712362611366,-0.7468213579637535
11470.58283420646,02 Jun 1972 01:59:16.875,87.01031851212102,8.067965651784846,-1.887249152520326,-85.08771886671902,-0.7092425376010709
11470.58296436431,02 Jun 1972 01:59:28.121,86.36163642134912,8.122648274109441,-2.1225979612434,-85.17882490851075,-0.6714004650312688
